n,BC,AC,WC
100,674,1636,8272
200,230,1690,11273
300,186,2383,24215
400,218,3086,39180
500,246,3806,59873
600,303,4487,84763
700,330,5169,116164
800,365,5942,148503
900,391,6743,189455
1000,438,7502,232002
1100,500,7913,278416
1200,531,8879,328203
1300,566,9625,386372
1400,605,10124,448110
1500,644,11101,517155
1600,692,11668,584192
1700,733,12590,659452
1800,752,13482,735719
1900,798,14122,818950
2000,857,14519,905559
2100,917,15616,1001235
2200,908,16174,1092692
2300,984,16924,1189777
2400,1035,17880,1304039
2500,1050,18880,1451343
2600,1118,18806,1565051
2700,1091,19946,1640911
2800,1155,20785,1767215
2900,1195,21130,1898307
3000,1215,21989,2019882
3100,1243,22369,2160123
3200,1295,23255,2298596
3300,1252,24048,2443498
3400,1346,24828,2624414
3500,1427,25442,2758816
3600,1404,25610,2903833
3700,1422,26579,3072934
3800,1485,27076,3247184
3900,1542,28063,3432998
4000,1567,29012,3734390
4100,1690,29903,3836422
4200,1643,31212,3981363
4300,1699,31188,4260699
4400,1711,31901,4378970
4500,1765,32418,4619104
4600,1743,33361,4787571
4700,1943,34192,5164131
4800,2197,35729,5320541
4900,1851,35182,5488738
5000,1947,36498,5684950
5100,1939,37461,5946962
5200,2032,37686,6341097
5300,2255,40209,6567221
5400,2388,40276,6799513
5500,2153,40880,6854395
5600,2110,39422,7067668
5700,2084,40446,7259159
5800,2152,42816,7556679
5900,2352,41527,7847275
6000,2324,42404,8180760
6100,2288,43781,8333434
6200,2335,44274,8703861
6300,2305,44975,8959144
6400,2360,45247,9168237
6500,2400,46189,9512287
6600,2418,46512,9911602
6700,2533,47608,10104161
6800,2508,48311,10513464
6900,2536,48476,10663807
7000,2544,48711,10977085
7100,2616,50035,11371623
7200,2653,50250,11695815
7300,2718,51804,11964887
7400,2707,52488,12340001
7500,2772,53235,12656348
7600,2823,54287,12942385
7700,2788,53465,13296641
7800,2882,55194,13613926
7900,2861,54772,13959669
8000,2842,55856,14361766
8100,2946,56962,14666994
8200,2998,57505,15132314
8300,3038,58053,15488088
8400,3137,58806,15822110
8500,3145,59747,16124083
8600,3155,60380,16574833
8700,3192,61978,16917969
8800,3175,62275,17328038
8900,3322,61731,17734463
9000,3304,63334,18169435
9100,3300,64588,18547846
9200,3360,64359,18953341
9300,3411,64955,19319932
9400,3603,65593,19827833
9500,3468,66800,20255132
9600,3491,68170,20642192
9700,3569,67990,21102060
9800,3522,69649,21543199
9900,3622,69635,21967048
10000,3776,69765,22431104
